Player,Runs,Mins,BF,4s,6s,SR,Inns,Opposition,Ground,Start Date
MP Stoinis ,46,79,63,4,1,73.01,1,v India,Nagpur,01-10-2017
V Kohli ,46,-,62,3,0,74.19,2,v Australia,Melbourne,18-01-2019
RT Ponting ,45,56,45,3,1,100,1,v India,Hyderabad (Deccan),05-11-2009
MEK Hussey ,45,45,32,4,0,140.62,1,v India,Melbourne,05-02-2012
MS Wade ,45,127,67,2,1,67.16,1,v India,Brisbane,19-02-2012
S Dhawan ,45,57,41,6,1,109.75,2,v Australia,Sydney,26-03-2015
MS Dhoni ,44*,76,58,0,1,75.86,2,v Australia,Adelaide,12-02-2012
AC Voges ,44*,55,38,5,0,115.78,1,v India,Nagpur,30-10-2013
AM Rahane ,44,87,68,2,0,64.7,2,v Australia,Sydney,26-03-2015
DA Warner ,43,58,46,5,1,93.47,1,v India,Brisbane,19-02-2012
GJ Bailey ,43,69,60,4,1,71.66,2,v India,Mohali,19-10-2013
PSP Handscomb ,43,54,30,3,1,143.33,1,v India,Bengaluru,28-09-2017
RG Sharma ,43,71,52,2,2,82.69,2,v Australia,Adelaide,15-01-2019
RG Sharma ,42,62,47,6,0,89.36,2,v Australia,Pune,13-10-2013
DA Warner ,42,59,44,4,1,95.45,1,v India,Indore,24-09-2017
TM Head ,42,78,59,4,0,71.18,1,v India,Nagpur,01-10-2017
SR Watson ,41,71,59,5,0,69.49,1,v India,Delhi,31-10-2009
SR Watson ,41,47,39,5,1,105.12,2,v India,Melbourne,18-01-2015
SPD Smith ,41,45,45,5,0,91.11,2,v India,Melbourne,17-01-2016
GJ Maxwell ,41,29,20,6,1,205,1,v India,Canberra,20-01-2016
RG Sharma ,41,28,25,2,3,164,2,v Australia,Canberra,20-01-2016
HH Pandya ,41,64,40,1,3,102.5,2,v Australia,Bengaluru,28-09-2017
P Kumar ,40*,41,32,5,1,125,2,v Australia,Vadodara,25-10-2009
V Sehwag ,40,49,31,6,1,129.03,1,v Australia,Nagpur,28-10-2009
MEK Hussey ,40,44,41,2,1,97.56,1,v India,Mohali,02-11-2009
SR Tendulkar ,40,86,68,6,0,58.82,2,v Australia,Mohali,02-11-2009
BJ Haddin ,40,67,49,7,0,81.63,2,v India,Bengaluru,02-11-2013
KM Jadhav ,40,72,54,5,0,74.07,1,v Australia,Chennai,17-09-2017
DT Christian ,39,57,36,2,0,108.33,1,v India,Adelaide,12-02-2012
SK Raina ,39,56,45,2,1,86.66,2,v Australia,Pune,13-10-2013
GJ Maxwell ,39,25,18,3,4,216.66,2,v India,Chennai,17-09-2017
TM Head ,39,57,39,5,0,100,2,v India,Kolkata,21-09-2017
V Kohli ,39,73,55,2,0,70.9,2,v Australia,Nagpur,01-10-2017
SE Marsh ,39,-,54,3,0,72.22,1,v India,Melbourne,18-01-2019
DJ Hussey ,38*,44,26,3,1,146.15,1,v India,Ahmedabad,24-03-2011
V Sehwag ,38,37,30,5,1,126.66,2,v Australia,Hyderabad (Deccan),05-11-2009
MJ Clarke ,38,63,43,5,0,88.37,1,v India,Adelaide,12-02-2012
SK Raina ,38,65,30,3,1,126.66,2,v Australia,Adelaide,12-02-2012
AJ Finch ,38,72,44,6,0,86.36,2,v India,Mohali,19-10-2013
MK Pandey ,36*,44,32,6,0,112.5,2,v Australia,Indore,24-09-2017
AC Voges ,36,64,44,1,0,81.81,2,v India,Nagpur,28-10-2009
MS Wade ,36,39,27,2,1,133.33,1,v India,Sydney,23-01-2016
CL White ,35*,43,30,2,1,116.66,1,v India,Centurion,28-09-2009
MEK Hussey ,35*,72,62,2,0,56.45,2,v India,Guwahati,08-11-2009
SK Raina ,34*,48,28,2,1,121.42,2,v Australia,Ahmedabad,24-03-2011
MS Dhoni ,34,75,46,4,0,73.91,2,v Australia,Vadodara,25-10-2009
RG Sharma ,34,83,48,1,2,70.83,2,v Australia,Sydney,26-03-2015
MS Dhoni ,34,64,42,1,1,80.95,2,v Australia,Sydney,23-01-2016
UT Khawaja ,34,-,51,2,0,66.66,1,v India,Melbourne,18-01-2019
RG Sharma ,33,49,41,1,1,80.48,2,v Australia,Adelaide,12-02-2012
MR Marsh ,33,62,42,3,0,78.57,1,v India,Canberra,20-01-2016
MK Pandey ,33,40,25,3,1,132,2,v Australia,Bengaluru,28-09-2017
B Kumar ,32*,45,30,5,0,106.66,1,v Australia,Chennai,17-09-2017
JP Faulkner ,32*,41,25,1,1,128,2,v India,Chennai,17-09-2017
SR Tendulkar ,32,63,47,2,0,68.08,2,v Australia,Delhi,31-10-2009
AJ Finch ,32,46,36,6,0,88.88,1,v India,Nagpur,01-10-2017
S Dhawan ,32,31,28,5,0,114.28,2,v Australia,Adelaide,15-01-2019
MEK Hussey ,31*,33,22,1,2,140.9,1,v India,Hyderabad (Deccan),05-11-2009
Harbhajan Singh ,31,33,25,5,1,124,2,v Australia,Mohali,02-11-2009
V Kohli ,31,30,34,3,0,91.17,2,v Australia,Melbourne,05-02-2012
GJ Maxwell ,31,21,23,1,3,134.78,1,v India,Pune,13-10-2013
NM Hauritz ,30*,44,32,3,0,93.75,2,v India,Nagpur,28-10-2009
DT Christian ,30*,30,18,5,0,166.66,1,v India,Brisbane,19-02-2012
V Kohli ,30,53,41,3,0,73.17,2,v Australia,Vadodara,25-10-2009
V Sehwag ,30,30,19,7,0,157.89,2,v Australia,Mohali,02-11-2009
B Kumar ,29*,28,23,4,0,126.08,2,v Australia,Sydney,12-01-2019
MS Dhoni ,29,61,38,1,0,76.31,2,v Australia,Melbourne,05-02-2012
TM Head ,29,55,38,1,1,76.31,1,v India,Bengaluru,28-09-2017
MP Stoinis ,29,40,36,3,0,80.55,1,v India,Adelaide,15-01-2019
AM Rahane ,28*,61,50,2,0,56,1,v Australia,Sydney,26-01-2015
SK Raina ,28,76,41,1,1,68.29,2,v Australia,Brisbane,19-02-2012
R Ashwin ,28,55,35,3,0,80,1,v Australia,Mohali,19-10-2013
SK Raina ,28,40,30,2,0,93.33,1,v Australia,Bengaluru,02-11-2013
SR Watson ,28,51,30,2,1,93.33,1,v India,Sydney,26-03-2015
SPD Smith ,28,47,37,3,0,75.67,1,v India,Sydney,23-01-2016
RG Sharma ,28,81,44,3,0,63.63,1,v Australia,Chennai,17-09-2017
V Kohli ,28,58,35,2,0,80,2,v Australia,Indore,24-09-2017
MG Johnson ,27*,14,9,4,1,300,1,v India,Sydney,26-03-2015
MP Stoinis ,27*,42,28,1,1,96.42,1,v India,Indore,24-09-2017
JP Faulkner ,27,28,22,0,2,122.72,1,v India,Pune,13-10-2013
DJ Hussey ,26*,35,20,1,1,130,1,v India,Brisbane,19-02-2012
GJ Maxwell ,26*,34,25,1,0,104,2,v India,Brisbane,15-01-2016
MS Dhoni ,26,58,46,2,0,56.52,2,v Australia,Mohali,02-11-2009
