Player,Overs,Mdns,Runs,Wkts,Econ,Inns,Opposition,Ground,Start Date
B Kumar ,8,0,42,1,5.25,1,v Australia,Nagpur,30-10-2013
R Ashwin ,10,0,42,1,4.2,1,v Australia,Sydney,26-03-2015
NM Coulter-Nile ,9,0,42,1,4.66,2,v India,Nagpur,01-10-2017
MG Johnson ,9.2,2,43,1,4.6,2,v India,Delhi,31-10-2009
Harbhajan Singh ,10,0,44,1,4.4,1,v Australia,Hyderabad (Deccan),05-11-2009
R Sharma ,6.2,0,44,1,6.94,1,v Australia,Melbourne,05-02-2012
B Kumar ,9.5,0,44,1,4.47,2,v Australia,Melbourne,18-01-2015
Mohammed Shami ,8.1,0,44,1,5.38,2,v Australia,Melbourne,18-01-2015
A Mishra ,9,0,45,1,5,1,v Australia,Centurion,28-09-2009
B Lee ,8.4,1,45,1,5.19,2,v India,Ahmedabad,24-03-2011
AR Patel ,10,0,45,1,4.5,2,v Australia,Melbourne,18-01-2015
KW Richardson ,8.5,0,45,1,5.09,2,v India,Indore,24-09-2017
Z Khan ,10,0,46,1,4.6,1,v Australia,Adelaide,12-02-2012
Z Khan ,10,0,46,1,4.6,1,v Australia,Brisbane,19-02-2012
JW Hastings ,8,0,46,1,5.75,1,v India,Brisbane,15-01-2016
MP Stoinis ,9,0,46,1,5.11,2,v India,Adelaide,15-01-2019
NM Hauritz ,10,0,48,1,4.8,2,v India,Delhi,31-10-2009
KW Richardson ,10,0,48,1,4.8,1,v India,Melbourne,17-01-2016
KM Jadhav ,10,0,48,1,4.8,1,v Australia,Nagpur,01-10-2017
RA Jadeja ,10,0,48,1,4.8,1,v Australia,Sydney,12-01-2019
PM Siddle ,8,0,48,1,6,2,v India,Sydney,12-01-2019
CJ McKay ,10,0,49,1,4.9,1,v India,Mohali,19-10-2013
RA Jadeja ,10,1,49,1,4.9,1,v Australia,Adelaide,15-01-2019
R Ashwin ,8,0,50,1,6.25,1,v Australia,Jaipur,16-10-2013
B Kumar ,10,1,50,1,5,2,v Australia,Mohali,19-10-2013
RA Jadeja ,9,0,50,1,5.55,2,v Australia,Brisbane,15-01-2016
MC Henriques ,8,0,51,1,6.37,2,v India,Delhi,31-10-2009
RA Jadeja ,10,0,51,1,5.1,1,v Australia,Sydney,26-02-2012
SW Tait ,7,0,52,1,7.42,2,v India,Ahmedabad,24-03-2011
JP Behrendorff ,8.2,1,52,1,6.24,2,v India,Adelaide,15-01-2019
I Sharma ,7.3,0,53,1,7.06,1,v Australia,Centurion,28-09-2009
Yuvraj Singh ,10,0,54,1,5.4,1,v Australia,Mohali,02-11-2009
R Ashwin ,9,0,54,1,6,2,v Australia,Melbourne,18-01-2015
AC Agar ,9,0,54,1,6,1,v India,Kolkata,21-09-2017
YS Chahal ,10,0,54,1,5.4,1,v Australia,Indore,24-09-2017
PM Siddle ,9,0,55,1,6.11,2,v India,Vadodara,25-10-2009
PM Siddle ,10,0,55,1,5.5,1,v India,Nagpur,28-10-2009
I Sharma ,7,0,56,1,8,1,v Australia,Pune,13-10-2013
RA Jadeja ,10,0,56,1,5.6,1,v Australia,Ranchi,23-10-2013
PM Siddle ,9,1,56,1,6.22,2,v India,Melbourne,18-01-2019
Harbhajan Singh ,10,0,57,1,5.7,1,v Australia,Vadodara,25-10-2009
